Gene,FPKM,Treatment
YBL030C,131.676,T63
YBL055C,0,T63
YDL003W,92.603,T63
YDL042C,18.652,T63
YDL126C,12.561,T63
YDR113C,0,T63
YDR326C,0,T63
YER019W,0,T63
YER110C,28.28,T63
YER112W,335.143,T63
YFL010C,198.135,T63
YGL160W,0,T63
YGR098C,6.438,T63
YGR192C,3366.522,T63
YHL007C,11.171,T63
YHR155W,0,T63
YHR179W,52.375,T63
YIL016W,196.896,T63
YIL065C,134.63,T63
YIL097W,0,T63
YJL112W,0,T63
YJL124C,485.602,T63
YJL194W,0,T63
YJL208C,31.822,T63
YJR009C,989.492,T63
YJR089W,10.996,T63
YKL056C,4875.529,T63
YKR036C,0,T63
YKR071C,120.357,T63
YLL001W,13.854,T63
YLR150W,153.301,T63
YML078W,975.516,T63
YML120C,40.86,T63
YMR074C,359.628,T63
YMR095C,46.672,T63
YNL055C,73.952,T63
YNL098C,32.511,T63
YNL118C,32.444,T63
YNL123W,21.044,T63
YNL186W,39.727,T63
YNL305C,0,T63
YNR074C,27.707,T63
YOL002C,0,T63
YOL149W,90.527,T63
YOR043W,21.563,T63
YOR197W,24.252,T63
YOR297C,163.23,T63
YPL116W,0,T63
YPL123C,0,T63
YPL171C,0,T63
YPR048W,0,T63
YBL030C,135.391,T64
YBL055C,0,T64
YDL003W,50.782,T64
YDL042C,0,T64
YDL126C,51.662,T64
YDR113C,0,T64
YDR326C,0,T64
YER019W,0,T64
YER110C,90.463,T64
YER112W,382.888,T64
YFL010C,135.817,T64
YGL160W,0,T64
YGR098C,0,T64
YGR192C,2935.06,T64
YHL007C,0,T64
YHR155W,46.856,T64
YHR179W,0,T64
YIL016W,269.936,T64
YIL065C,0,T64
YIL097W,0,T64
YJL112W,0,T64
YJL124C,166.434,T64
YJL194W,28.009,T64
YJL208C,87.252,T64
YJR009C,903.109,T64
YJR089W,0,T64
YKL056C,4456.085,T64
YKR036C,0,T64
YKR071C,41.251,T64
YLL001W,0,T64
YLR150W,2101.691,T64
YML078W,865.368,T64
YML120C,112.036,T64
YMR074C,197.213,T64
YMR095C,0,T64
YNL055C,760.383,T64
YNL098C,44.571,T64
YNL118C,0,T64
YNL123W,0,T64
YNL186W,18.155,T64
YNL305C,96.621,T64
YNR074C,37.986,T64
YOL002C,0,T64
YOL149W,124.108,T64
YOR043W,29.562,T64
YOR197W,33.248,T64
YOR297C,74.594,T64
YPL116W,20.625,T64
YPL123C,33.096,T64
YPL171C,0,T64
YPR048W,0,T64
YBL030C,125.598,T65
YBL055C,31.874,T65
YDL003W,117.771,T65
YDL042C,0,T65
YDL126C,47.926,T65
YDR113C,0,T65
YDR326C,0,T65
YER019W,0,T65
YER110C,0,T65
YER112W,71.039,T65
YFL010C,62.997,T65
YGL160W,46.779,T65
YGR098C,0,T65
YGR192C,4188.026,T65
YHL007C,0,T65
YHR155W,32.6,T65
YHR179W,233.135,T65
YIL016W,250.411,T65
YIL065C,256.832,T65
YIL097W,0,T65
YJL112W,0,T65
YJL124C,154.396,T65
YJL194W,77.949,T65
YJL208C,80.941,T65
YJR009C,1901.988,T65
YJR089W,13.985,T65
YKL056C,6439.152,T65
YKR036C,0,T65
YKR071C,267.871,T65
YLL001W,0,T65
YLR150W,97.484,T65
YML078W,729.797,T65
YML120C,25.983,T65
YMR074C,640.322,T65
YMR095C,0,T65
YNL055C,141.077,T65
YNL098C,82.695,T65
YNL118C,13.754,T65
YNL123W,26.764,T65
YNL186W,16.841,T65
YNL305C,89.633,T65
YNR074C,176.191,T65
YOL002C,41.998,T65
YOL149W,115.132,T65
YOR043W,0,T65
YOR197W,61.687,T65
YOR297C,138.397,T65
YPL116W,0,T65
YPL123C,0,T65
YPL171C,0,T65
YPR048W,0,T65
YBL030C,46.964,T66
YBL055C,0,T66
YDL003W,52.845,T66
YDL042C,26.61,T66
YDL126C,179.206,T66
YDR113C,0,T66
YDR326C,0,T66
YER019W,31.342,T66
YER110C,13.448,T66
YER112W,159.379,T66
YFL010C,70.668,T66
YGL160W,0,T66
YGR098C,0,T66
YGR192C,5685.712,T66
YHL007C,0,T66
YHR155W,12.19,T66
YHR179W,410.967,T66
YIL016W,374.54,T66
YIL065C,96.036,T66
YIL097W,0,T66
YJL112W,20.953,T66
YJL124C,259.797,T66
YJL194W,29.147,T66
YJL208C,0,T66
YJR009C,1786.288,T66
YJR089W,31.375,T66
YKL056C,6153.164,T66
YKR036C,0,T66
YKR071C,300.491,T66
YLL001W,0,T66
YLR150W,218.71,T66
YML078W,1555.468,T66
YML120C,0,T66
YMR074C,410.455,T66
YMR095C,0,T66
YNL055C,369.265,T66
YNL098C,139.148,T66
YNL118C,15.429,T66
YNL123W,15.012,T66
YNL186W,37.785,T66
YNL305C,50.274,T66
YNR074C,0,T66
YOL002C,0,T66
YOL149W,0,T66
YOR043W,0,T66
YOR197W,34.6,T66
YOR297C,388.125,T66
YPL116W,21.464,T66
YPL123C,0,T66
YPL171C,0,T66
YPR048W,24.009,T66
YBL030C,63.445,T67
YBL055C,0,T67
YDL003W,53.542,T67
YDL042C,0,T67
YDL126C,72.628,T67
YDR113C,0,T67
YDR326C,0,T67
YER019W,21.171,T67
YER110C,45.42,T67
YER112W,161.481,T67
YFL010C,214.801,T67
YGL160W,0,T67
YGR098C,0,T67
YGR192C,2891.762,T67
YHL007C,10.765,T67
YHR155W,0,T67
YHR179W,100.943,T67
YIL016W,189.741,T67
YIL065C,0,T67
YIL097W,19.574,T67
YJL112W,0,T67
YJL124C,292.471,T67
YJL194W,19.688,T67
YJL208C,30.665,T67
YJR009C,1447.393,T67
YJR089W,10.596,T67
YKL056C,5541.631,T67
YKR036C,0,T67
YKR071C,86.987,T67
YLL001W,13.35,T67
YLR150W,1514.232,T67
YML078W,552.978,T67
YML120C,39.375,T67
YMR074C,415.87,T67
YMR095C,0,T67
YNL055C,1425.282,T67
YNL098C,31.33,T67
YNL118C,20.843,T67
YNL123W,10.14,T67
YNL186W,0,T67
YNL305C,33.958,T67
YNR074C,0,T67
YOL002C,0,T67
