Gene,FPKM,Treatment
YBL030C,131.676,ctrl
YBL055C,0,ctrl
YDL003W,92.603,ctrl
YDL042C,18.652,ctrl
YDL126C,12.561,ctrl
YDR113C,0,ctrl
YDR326C,0,ctrl
YER019W,0,ctrl
YER110C,28.28,ctrl
YER112W,335.143,ctrl
YFL010C,198.135,ctrl
YGL160W,0,ctrl
YGR098C,6.438,ctrl
YGR192C,3366.522,ctrl
YHL007C,11.171,ctrl
YHR155W,0,ctrl
YHR179W,52.375,ctrl
YIL016W,196.896,ctrl
YIL065C,134.63,ctrl
YIL097W,0,ctrl
YJL112W,0,ctrl
YJL124C,485.602,ctrl
YJL194W,0,ctrl
YJL208C,31.822,ctrl
YJR009C,989.492,ctrl
YJR089W,10.996,ctrl
YKL056C,4875.529,ctrl
YKR036C,0,ctrl
YKR071C,120.357,ctrl
YLL001W,13.854,ctrl
YLR150W,153.301,ctrl
YML078W,975.516,ctrl
YML120C,40.86,ctrl
YMR074C,359.628,ctrl
YMR095C,46.672,ctrl
YNL055C,73.952,ctrl
YNL098C,32.511,ctrl
YNL118C,32.444,ctrl
YNL123W,21.044,ctrl
YNL186W,39.727,ctrl
YNL305C,0,ctrl
YNR074C,27.707,ctrl
YOL002C,0,ctrl
YOL149W,90.527,ctrl
YOR043W,21.563,ctrl
YOR197W,24.252,ctrl
YOR297C,163.23,ctrl
YPL116W,0,ctrl
YPL123C,0,ctrl
YPL171C,0,ctrl
YPR048W,0,ctrl
YBL030C,135.391,ctrl
YBL055C,0,ctrl
YDL003W,50.782,ctrl
YDL042C,0,ctrl
YDL126C,51.662,ctrl
YDR113C,0,ctrl
YDR326C,0,ctrl
YER019W,0,ctrl
YER110C,90.463,ctrl
YER112W,382.888,ctrl
YFL010C,135.817,ctrl
YGL160W,0,ctrl
YGR098C,0,ctrl
YGR192C,2935.06,ctrl
YHL007C,0,ctrl
YHR155W,46.856,ctrl
YHR179W,0,ctrl
YIL016W,269.936,ctrl
YIL065C,0,ctrl
YIL097W,0,ctrl
YJL112W,0,ctrl
YJL124C,166.434,ctrl
YJL194W,28.009,ctrl
YJL208C,87.252,ctrl
YJR009C,903.109,ctrl
YJR089W,0,ctrl
YKL056C,4456.085,ctrl
YKR036C,0,ctrl
YKR071C,41.251,ctrl
YLL001W,0,ctrl
YLR150W,2101.691,ctrl
YML078W,865.368,ctrl
YML120C,112.036,ctrl
YMR074C,197.213,ctrl
YMR095C,0,ctrl
YNL055C,760.383,ctrl
YNL098C,44.571,ctrl
YNL118C,0,ctrl
YNL123W,0,ctrl
YNL186W,18.155,ctrl
YNL305C,96.621,ctrl
YNR074C,37.986,ctrl
YOL002C,0,ctrl
YOL149W,124.108,ctrl
YOR043W,29.562,ctrl
YOR197W,33.248,ctrl
YOR297C,74.594,ctrl
YPL116W,20.625,ctrl
YPL123C,33.096,ctrl
YPL171C,0,ctrl
YPR048W,0,ctrl
YBL030C,125.598,dtt
YBL055C,31.874,dtt
YDL003W,117.771,dtt
YDL042C,0,dtt
