Gene,FPKM,Treatment
YBL030C,484.556,T51
YBL055C,69.546,T51
YDL003W,94.23,T51
YDL042C,8.181,T51
YDL126C,280.797,T51
YDR113C,22.66,T51
YDR326C,12.248,T51
YER019W,28.522,T51
YER110C,81.947,T51
YER112W,121.68,T51
YFL010C,85.939,T51
YGL160W,40.224,T51
YGR098C,7.794,T51
YGR192C,13686.372,T51
YHL007C,20.057,T51
YHR155W,9.694,T51
YHR179W,183.393,T51
YIL016W,109.006,T51
YIL065C,65.348,T51
YIL097W,9.681,T51
YJL112W,43.804,T51
YJL124C,111.642,T51
YJL194W,10.454,T51
YJL208C,82.441,T51
YJR009C,2471.129,T51
YJR089W,11.768,T51
YKL056C,5232.064,T51
YKR036C,13.207,T51
YKR071C,181.772,T51
YLL001W,25.683,T51
YLR150W,1891.774,T51
YML078W,166.114,T51
YML120C,52.511,T51
YMR074C,321.991,T51
YMR095C,51.586,T51
YNL055C,154.286,T51
YNL098C,304.777,T51
YNL118C,46.17,T51
YNL123W,43.105,T51
YNL186W,32.603,T51
YNL305C,49.356,T51
YNR074C,131.249,T51
YOL002C,95.111,T51
YOL149W,88.147,T51
YOR043W,46.406,T51
YOR197W,65.525,T51
YOR297C,41.525,T51
YPL116W,21.512,T51
YPL123C,16.659,T51
YPL171C,0.766,T51
YPR048W,44.976,T51
YBL030C,485.263,T52
YBL055C,65.468,T52
YDL003W,90.578,T52
YDL042C,9.373,T52
YDL126C,278.689,T52
YDR113C,25.202,T52
YDR326C,11.813,T52
YER019W,25.281,T52
YER110C,80.019,T52
YER112W,126.627,T52
YFL010C,89.322,T52
YGL160W,36.401,T52
YGR098C,6.816,T52
YGR192C,13866.416,T52
YHL007C,20.098,T52
YHR155W,9.8,T52
YHR179W,187.943,T52
YIL016W,103.975,T52
YIL065C,66.102,T52
YIL097W,7.947,T52
YJL112W,45.238,T52
YJL124C,118.747,T52
YJL194W,10.109,T52
YJL208C,76.411,T52
YJR009C,2466.229,T52
YJR089W,12.696,T52
YKL056C,5271.742,T52
YKR036C,13.323,T52
YKR071C,175.666,T52
YLL001W,31.194,T52
YLR150W,1902.897,T52
YML078W,180.273,T52
YML120C,50.077,T52
YMR074C,344.593,T52
YMR095C,50.485,T52
YNL055C,162.683,T52
YNL098C,298.925,T52
YNL118C,46.254,T52
YNL123W,39.635,T52
YNL186W,35.15,T52
YNL305C,50.824,T52
YNR074C,127.751,T52
YOL002C,102.729,T52
YOL149W,87.506,T52
YOR043W,40.281,T52
YOR197W,66.328,T52
YOR297C,41.533,T52
YPL116W,23.026,T52
YPL123C,16.946,T52
YPL171C,0.703,T52
YPR048W,44.993,T52
YBL030C,170.965,T53
YBL055C,138.498,T53
YDL003W,75.22,T53
YDL042C,6.367,T53
YDL126C,703.344,T53
YDR113C,15.975,T53
YDR326C,12.009,T53
YER019W,42.626,T53
YER110C,48.929,T53
YER112W,123.86,T53
YFL010C,186.022,T53
YGL160W,65.678,T53
YGR098C,7.74,T53
YGR192C,14021.702,T53
YHL007C,24.902,T53
YHR155W,18.249,T53
YHR179W,778.662,T53
YIL016W,108.003,T53
YIL065C,118.825,T53
YIL097W,21.927,T53
YJL112W,37.11,T53
YJL124C,153.196,T53
YJL194W,8.524,T53
YJL208C,35.56,T53
YJR009C,3581.999,T53
YJR089W,23.87,T53
YKL056C,3002.272,T53
YKR036C,19.697,T53
YKR071C,177.251,T53
YLL001W,36.945,T53
YLR150W,954.175,T53
YML078W,199.908,T53
YML120C,31.951,T53
YMR074C,355.918,T53
YMR095C,39.627,T53
YNL055C,321.711,T53
YNL098C,410.925,T53
