Gene,FPKM,Treatment
YBL030C,484.556,ctrl
YBL055C,69.546,ctrl
YDL003W,94.23,ctrl
YDL042C,8.181,ctrl
YDL126C,280.797,ctrl
YDR113C,22.66,ctrl
YDR326C,12.248,ctrl
YER019W,28.522,ctrl
YER110C,81.947,ctrl
YER112W,121.68,ctrl
YFL010C,85.939,ctrl
YGL160W,40.224,ctrl
YGR098C,7.794,ctrl
YGR192C,13686.372,ctrl
YHL007C,20.057,ctrl
YHR155W,9.694,ctrl
YHR179W,183.393,ctrl
YIL016W,109.006,ctrl
YIL065C,65.348,ctrl
YIL097W,9.681,ctrl
YJL112W,43.804,ctrl
YJL124C,111.642,ctrl
YJL194W,10.454,ctrl
YJL208C,82.441,ctrl
YJR009C,2471.129,ctrl
YJR089W,11.768,ctrl
YKL056C,5232.064,ctrl
YKR036C,13.207,ctrl
YKR071C,181.772,ctrl
YLL001W,25.683,ctrl
YLR150W,1891.774,ctrl
YML078W,166.114,ctrl
YML120C,52.511,ctrl
YMR074C,321.991,ctrl
YMR095C,51.586,ctrl
YNL055C,154.286,ctrl
YNL098C,304.777,ctrl
YNL118C,46.17,ctrl
YNL123W,43.105,ctrl
YNL186W,32.603,ctrl
YNL305C,49.356,ctrl
YNR074C,131.249,ctrl
YOL002C,95.111,ctrl
YOL149W,88.147,ctrl
YOR043W,46.406,ctrl
YOR197W,65.525,ctrl
YOR297C,41.525,ctrl
YPL116W,21.512,ctrl
YPL123C,16.659,ctrl
YPL171C,0.766,ctrl
YPR048W,44.976,ctrl
YBL030C,485.263,ctrl
YBL055C,65.468,ctrl
YDL003W,90.578,ctrl
YDL042C,9.373,ctrl
YDL126C,278.689,ctrl
YDR113C,25.202,ctrl
YDR326C,11.813,ctrl
YER019W,25.281,ctrl
YER110C,80.019,ctrl
YER112W,126.627,ctrl
YFL010C,89.322,ctrl
YGL160W,36.401,ctrl
YGR098C,6.816,ctrl
YGR192C,13866.416,ctrl
YHL007C,20.098,ctrl
YHR155W,9.8,ctrl
YHR179W,187.943,ctrl
YIL016W,103.975,ctrl
YIL065C,66.102,ctrl
YIL097W,7.947,ctrl
YJL112W,45.238,ctrl
YJL124C,118.747,ctrl
YJL194W,10.109,ctrl
YJL208C,76.411,ctrl
YJR009C,2466.229,ctrl
YJR089W,12.696,ctrl
YKL056C,5271.742,ctrl
YKR036C,13.323,ctrl
YKR071C,175.666,ctrl
YLL001W,31.194,ctrl
YLR150W,1902.897,ctrl
YML078W,180.273,ctrl
YML120C,50.077,ctrl
YMR074C,344.593,ctrl
YMR095C,50.485,ctrl
YNL055C,162.683,ctrl
YNL098C,298.925,ctrl
YNL118C,46.254,ctrl
YNL123W,39.635,ctrl
YNL186W,35.15,ctrl
YNL305C,50.824,ctrl
YNR074C,127.751,ctrl
YOL002C,102.729,ctrl
YOL149W,87.506,ctrl
YOR043W,40.281,ctrl
YOR197W,66.328,ctrl
YOR297C,41.533,ctrl
YPL116W,23.026,ctrl
YPL123C,16.946,ctrl
YPL171C,0.703,ctrl
YPR048W,44.993,ctrl
YBL030C,170.965,dtt
YBL055C,138.498,dtt
YDL003W,75.22,dtt
YDL042C,6.367,dtt
YDL126C,703.344,dtt
YDR113C,15.975,dtt
YDR326C,12.009,dtt
YER019W,42.626,dtt
YER110C,48.929,dtt
YER112W,123.86,dtt
YFL010C,186.022,dtt
YGL160W,65.678,dtt
YGR098C,7.74,dtt
YGR192C,14021.702,dtt
YHL007C,24.902,dtt
YHR155W,18.249,dtt
YHR179W,778.662,dtt
YIL016W,108.003,dtt
YIL065C,118.825,dtt
YIL097W,21.927,dtt
YJL112W,37.11,dtt
YJL124C,153.196,dtt
YJL194W,8.524,dtt
YJL208C,35.56,dtt
YJR009C,3581.999,dtt
YJR089W,23.87,dtt
YKL056C,3002.272,dtt
YKR036C,19.697,dtt
YKR071C,177.251,dtt
YLL001W,36.945,dtt
YLR150W,954.175,dtt
