Gene,SeqLen,Count,Count/Kb,FPKM
YAL068C,363,0,0,0
YAL067W-A,228,0,0,0
YAL067C,1782,0,0,0
YAL065C,387,2,5.168,162.808
YAL064W-B,381,1,2.625,82.686
YAL064C-A,381,0,0,0
YAL064W,285,0,0,0
YAL063C-A,291,0,0,0
YAL063C,3969,0,0,0
YAL062W,1374,0,0,0
YAL061W,1254,0,0,0
YAL060W,1149,2,1.741,54.836
YAL059W,639,7,10.955,345.108
YAL058W,1509,0,0,0
YAL056W,2643,0,0,0
YAL055W,543,0,0,0
YAL054C,2142,0,0,0
YAL053W,2352,0,0,0
YAL051W,3144,0,0,0
YAL049C,741,2,2.699,85.029
YAL048C,1989,0,0,0
YAL047C,1869,0,0,0
YAL046C,357,3,8.403,264.735
YAL044W-A,333,0,0,0
YAL044C,513,14,27.29,859.742
YAL043C,2358,0,0,0
YAL042W,1248,1,0.801,25.243
YAL041W,2565,0,0,0
YAL040C,1743,1,0.574,18.074
YAL039C,810,0,0,0
YAL038W,1503,87,57.884,1823.551
YAL037C-A,93,0,0,0
YAL037W,804,0,0,0
YAL036C,1110,4,3.604,113.526
YAL035W,3009,17,5.65,177.985
YAL034W-A,870,0,0,0
YAL034C,1242,0,0,0
YAL033W,522,0,0,0
YAL032C,1140,0,0,0
YAL031C,2283,0,0,0
YAL030W,354,1,2.825,88.993
YAL029C,4416,0,0,0
YAL028W,1587,0,0,0
YAL027W,786,0,0,0
YAL026C,4068,0,0,0
YAL025C,921,2,2.172,68.411
YAL024C,4308,0,0,0
YAL023C,2280,3,1.316,41.452
YAL022C,1554,1,0.644,20.272
YAL021C,2514,4,1.591,50.125
YAL020C,1002,0,0,0
YAL019W,3396,0,0,0
YAL018C,978,0,0,0
YAL017W,4071,0,0,0
YAL016W,1908,0,0,0
YAL015C,1200,0,0,0
YAL014C,768,0,0,0
YAL013W,1218,1,0.821,25.865
YAL012W,1185,8,6.751,212.681
YAL011W,1878,1,0.532,16.775
YAL010C,1482,0,0,0
YAL009W,780,0,0,0
YAL008W,597,0,0,0
YAL007C,648,6,9.259,291.698
YAL005C,1929,18,9.331,293.967
YAL003W,621,176,283.414,8928.506
YAL002W,3825,0,0,0
YAL001C,3483,0,0,0
YAR002W,1620,1,0.617,19.447
YAR002C-A,660,19,28.788,906.917
YAR003W,1281,0,0,0
YAR007C,1866,2,1.072,33.766
YAR008W,828,2,2.415,76.095
YAR009C,3591,0,0,0
YAR010C,1323,0.153,0.116,3.652
YAR014C,2130,0,0,0
YAR015W,921,0,0,0
YAR018C,1308,1,0.765,24.085
YAR019C,2925,0,0,0
YAR020C,168,0,0,0
YAR023C,540,0,0,0
YAR027W,708,3,4.237,133.489
YAR028W,705,1,1.418,44.686
YAR029W,225,0,0,0
YAR031W,897,0,0,0
YAR033W,705,0.5,0.709,22.343
YAR035W,2064,0,0,0
YAR035C-A,81,0,0,0
YAR042W,3567,0,0,0
YAR050W,4614,1,0.217,6.828
YAR064W,300,0,0,0
YAR066W,612,23.5,38.399,1209.69
YAR068W,486,17,34.979,1101.972
YAR071W,1404,0.5,0.356,11.219
YBL113C,2379,0,0,0
YBL112C,318,0,0,0
YBL111C,2004,0,0,0
YBL108C-A,129,0,0,0
YBL107C,591,1,1.692,53.305
YBL106C,3033,0,0,0
YBL105C,3456,0,0,0
YBL104C,3117,0,0,0
YBL103C,1461,1,0.684,21.563
YBL102W,648,0,0,0
YBL101C,3354,0,0,0
YBL100W-C,120,0,0,0
YBL100W-B,5313,0.071,0.013,0.424
YBL100W-A,1317,0.071,0.054,1.709
YBL099W,1638,12,7.326,230.794
YBL098W,1383,2,1.446,45.558
YBL097W,2265,0,0,0
YBL095W,813,0,0,0
YBL093C,663,2,3.017,95.033
YBL092W,393,79,201.018,6332.749
YBL091C-A,528,0,0,0
YBL091C,1266,2,1.58,49.768
YBL090W,534,1,1.873,58.995
YBL089W,1380,0,0,0
YBL088C,8364,0,0,0
YBL087C,414,55.5,134.058,4223.285
YBL086C,1401,0,0,0
YBL085W,2943,0,0,0
YBL084C,2277,1,0.439,13.835
YBL082C,1377,1,0.726,22.878
YBL081W,1107,0,0,0
YBL080C,1626,0,0,0
YBL079W,4509,3,0.665,20.96
YBL078C,354,0,0,0
YBL076C,3219,6,1.864,58.72
YBL075C,1950,0,0,0
YBL074C,1068,0,0,0
YBL072C,603,48,79.602,2507.735
YBL071C-B,99,0,0,0
YBL071W-A,249,1,4.016,126.52
YBL071C,309,0,0,0
YBL069W,1290,1,0.775,24.421
YBL068W,981,0,0,0
YBL067C,2244,0,0,0
YBL066C,3447,1,0.29,9.139
YBL064C,786,1,1.272,40.081
YBL063W,3336,0,0,0
YBL061C,2091,1,0.478,15.066
YBL060W,2064,0,0,0
YBL059C-A,330,0,0,0
YBL059W,582,0,0,0
YBL058W,1272,0,0,0
YBL057C,627,1,1.595,50.245
YBL056W,1407,2,1.421,44.781
YBL055C,1257,0,0,0
YBL054W,1578,3,1.901,59.892
YBL052C,2496,0,0,0
YBL051C,2007,0,0,0
YBL050W,879,0,0,0
YBL049W,417,0,0,0
YBL048W,312,0,0,0
YBL047C,4146,1,0.241,7.599
YBL046W,1326,0,0,0
YBL045C,1374,2,1.456,45.857
YBL044W,369,0,0,0
YBL043W,774,0,0,0
YBL042C,1920,0,0,0
YBL041W,726,10,13.774,433.931
YBL040C,660,3,4.545,143.197
YBL039W-B,180,0,0,0
YBL039C,1740,4,2.299,72.422
YBL038W,699,2,2.861,90.139
YBL037W,3078,1,0.325,10.235
YBL036C,774,7,9.044,284.915
YBL035C,2118,2,0.944,29.748
YBL034C,4542,0,0,0
YBL033C,1038,0,0,0
YBL032W,1146,4,3.49,109.96
YBL031W,1017,0,0,0
YBL030C,957,4,4.18,131.676
YBL029C-A,285,0,0,0
YBL029W,1131,0,0,0
YBL028C,321,10,31.153,981.415
YBL027W,570,83,145.614,4587.34
YBL026W,288,3,10.417,328.161
YBL025W,438,1,2.283,71.926
YBL024W,2055,3,1.46,45.99
YBL023C,2607,1,0.384,12.084
YBL022C,3402,0,0,0
YBL021C,435,0,0,0
YBL020W,1725,1,0.58,18.263
YBL019W,1563,0,0,0
YBL018C,402,1,2.488,78.367
YBL017C,4740,1,0.211,6.646
YBL016W,1062,0,0,0
YBL015W,1581,0,0,0
YBL014C,2685,0,0,0
YBL013W,1206,0,0,0
YBL011W,2280,0,0,0
YBL010C,843,0,0,0
YBL009W,2031,0,0,0
YBL008W-A,240,0,0,0
YBL008W,2523,0,0,0
YBL007C,3735,0,0,0
YBL006C,543,0,0,0
YBL005W,2931,0,0,0
YBL005W-B,5268,0,0,0
YBL005W-A,1323,0.5,0.378,11.906
YBL004W,7482,0,0,0
YBL003C,399,69.5,174.185,5487.438
YBL002W,396,18,45.455,1431.974
YBL001C,315,14,44.444,1400.152
YBR001C,2343,0,0,0
YBR002C,861,1,1.161,36.589
YBR003W,1422,0,0,0
YBR004C,1302,0,0,0
YBR005W,642,1,1.558,49.071
YBR006W,1494,0,0,0
YBR007C,2211,0,0,0
YBR008C,1647,0,0,0
YBR009C,312,9.5,30.449,959.239
YBR010W,411,49,119.221,3755.882
YBR011C,864,7,8.102,255.236
YBR012W-B,5271,0.019,0.004,0.111
YBR012W-A,1323,0.153,0.116,3.652
YBR013C,390,0,0,0
YBR014C,612,1,1.634,51.476
YBR015C,1794,0,0,0
YBR016W,387,10,25.84,814.042
YBR017C,2757,0,0,0
YBR018C,1101,0,0,0
YBR019C,2100,0,0,0
YBR020W,1587,0,0,0
YBR021W,1902,0,0,0
YBR022W,534,0,0,0
YBR023C,3498,0,0,0
YBR024W,906,0,0,0
YBR025C,1185,5,4.219,132.926
YBR026C,1143,0,0,0
YBR027C,333,0,0,0
YBR028C,1578,1,0.634,19.964
YBR029C,1374,1,0.728,22.928
YBR030W,1659,0,0,0
YBR031W,1089,33.5,30.762,969.114
YBR032W,303,0,0,0
YBR033W,2760,0,0,0
YBR034C,1047,2,1.91,60.178
YBR035C,687,15,21.834,687.848
YBR036C,1233,0,0,0
YBR037C,888,0,0,0
YBR038W,2892,3,1.037,32.68
YBR039W,936,0,0,0
YBR040W,897,0,0,0
YBR041W,2010,0,0,0
YBR042C,1194,0,0,0
YBR043C,2070,0,0,0
YBR044C,1719,0,0,0
YBR045C,1920,0,0,0
YBR046C,1005,1,0.995,31.347
YBR047W,528,1,1.894,59.666
YBR048W,471,72,152.866,4815.81
YBR049C,2433,4,1.644,51.794
YBR050C,1017,0,0,0
YBR052C,633,6,9.479,298.611
YBR053C,1077,0,0,0
YBR054W,1035,0,0,0
YBR055C,2700,1,0.37,11.668
YBR056W,1506,2,1.328,41.837
YBR056W-A,201,2,9.95,313.467
YBR057C,1101,0,0,0
YBR058C,2346,3,1.279,40.286
YBR058C-A,243,3,12.346,388.931
YBR059C,3327,0,0,0
YBR060C,1863,0,0,0
YBR061C,933,1,1.072,33.766
YBR062C,543,0,0,0
YBR063C,1215,0,0,0
YBR065C,1095,0,0,0
YBR066C,663,1,1.508,47.516
YBR067C,633,1,1.58,49.768
YBR068C,1830,3,1.639,51.645
YBR069C,1860,0,0,0
YBR070C,714,0,0,0
YBR071W,636,1,1.572,49.534
YBR072W,645,0,0,0
YBR072C-A,162,0,0,0
YBR073W,2877,1,0.348,10.95
YBR074W,2931,0,0,0
YBR076W,1065,0,0,0
YBR077C,489,2,4.09,128.848
YBR078W,1290,10,7.752,244.213
YBR079C,2895,11,3.8,119.702
YBR080C,2277,0,0,0
YBR081C,3999,1,0.25,7.878
YBR082C,447,12,26.846,845.729
YBR083W,1461,0,0,0
YBR084W,2928,4,1.366,43.037
YBR084C-A,570,81,142.105,4476.802
YBR085W,924,0,0,0
YBR085C-A,258,3,11.628,366.319
YBR086C,2841,1,0.352,11.089
YBR087W,1065,0,0,0
YBR088C,777,4,5.148,162.18
YBR089C-A,300,0.5,1.667,52.506
YBR090C,369,0.5,1.355,42.688
YBR091C,330,5,15.152,477.325
YBR092C,1404,0,0,0
YBR093C,1404,0,0,0
YBR094W,2262,0,0,0
YBR095C,1293,0,0,0
YBR096W,693,4,5.772,181.838
YBR097W,4365,0,0,0
YBR098W,2076,0,0,0
YBR101C,873,1,1.145,36.086
YBR102C,2262,1,0.442,13.927
YBR103W,1608,0,0,0
YBR104W,990,2,2.02,63.643
YBR105C,1089,0,0,0
YBR106W,567,24,42.328,1333.478
YBR107C,738,0,0,0
YBR108W,2844,0,0,0
YBR109C,444,14,31.532,993.351
YBR110W,1350,0,0,0
YBR111C,696,4,5.747,181.054
YBR111W-A,291,0,0,0
YBR112C,2901,1,0.345,10.86
YBR114W,2373,1,0.421,13.276
YBR115C,4179,0,0,0
YBR117C,2046,0,0,0
YBR118W,1377,85.5,62.092,1956.095
YBR119W,897,0,0,0
YBR120C,489,2,4.09,128.848
YBR121C,2004,3,1.497,47.161
YBR122C,534,5,9.363,294.976
YBR123C,1950,3,1.538,48.467
YBR125C,1182,0,0,0
YBR126C,1488,0,0,0
YBR126W-A,207,39,188.406,5935.427
YBR127C,1554,1,0.644,20.272
YBR128C,1035,0,0,0
YBR129C,987,2,2.026,63.837
YBR130C,1278,1,0.782,24.651
YBR131W,2115,0,0,0
YBR132C,1791,0,0,0
YBR133C,2484,0,0,0
YBR135W,453,3,6.623,208.632
YBR136W,7107,0,0,0
YBR137W,540,1,1.852,58.34
YBR138C,1575,0,0,0
YBR139W,1527,0,0,0
YBR140C,9279,0,0,0
YBR141C,1014,0,0,0
YBR142W,2322,5,2.153,67.837
YBR143C,1314,16,12.177,383.603
YBR144C,315,0,0,0
YBR145W,1056,0,0,0
YBR146W,837,1,1.195,37.638
YBR147W,891,0,0,0
YBR148W,1830,0,0,0
YBR149W,1035,2,1.932,60.876
YBR150C,3285,0,0,0
YBR151W,951,0,0,0
YBR152W,876,0,0,0
YBR153W,735,0,0,0
YBR154C,648,7,10.802,340.315
YBR155W,1158,0,0,0
YBR156C,2097,2,0.954,30.046
YBR157C,768,0,0,0
YBR158W,1650,0,0,0
YBR159W,1044,2,1.916,60.351
YBR160W,897,0,0,0
YBR161W,1131,0,0,0
YBR162C,1368,4,2.924,92.115
YBR162W-A,198,9,45.455,1431.974
YBR163W,1758,1,0.569,17.92
YBR164C,552,1,1.812,57.071
YBR165W,834,0,0,0
YBR166C,1359,0,0,0
YBR167C,423,0,0,0
YBR168W,1242,1,0.805,25.365
YBR169C,2082,0,0,0
YBR170C,1743,0,0,0
YBR171W,621,5,8.052,253.651
YBR172C,2223,1,0.45,14.172
YBR173C,447,6,13.423,422.865
YBR175W,948,0,0,0
YBR176W,939,0,0,0
YBR177C,1356,2,1.475,46.465
YBR179C,2568,0,0,0
YBR180W,1719,0,0,0
YBR181C,711,57,80.169,2525.591
YBR182C,1359,0,0,0
YBR182C-A,195,0,0,0
YBR183W,951,0,0,0
YBR184W,1572,0,0,0
YBR185C,837,0,0,0
YBR186W,1695,0,0,0
YBR187W,843,3,3.559,112.112
YBR188C,423,0,0,0
YBR189W,588,104.5,177.721,5598.822
YBR191W,483,66.333,137.336,4326.557
YBR192W,1134,0,0,0
YBR193C,672,2,2.976,93.76
YBR194W,372,0,0,0
YBR195C,1269,0,0,0
YBR196C,1665,13,7.808,245.973
YBR196C-A,150,0,0,0
YBR196C-B,105,0,0,0
YBR197C,654,0,0,0
YBR198C,2397,1,0.417,13.143
YBR199W,1395,0,0,0
YBR200W,1656,0,0,0
YBR200W-A,165,0,0,0
YBR201W,636,1,1.572,49.534
YBR201C-A,204,1,4.902,154.429
YBR202W,2538,1,0.394,12.413
YBR203W,2775,0,0,0
YBR204C,1128,0,0,0
YBR205W,1215,0,0,0
YBR207W,1398,0,0,0
YBR208C,5508,0,0,0
YBR209W,318,0,0,0
YBR210W,429,0,0,0
YBR211C,975,0,0,0
YBR212W,2019,3,1.486,46.81
YBR213W,825,0,0,0
YBR214W,1584,0,0,0
YBR215W,1878,0,0,0
YBR216C,2025,0,0,0
YBR217W,561,0,0,0
YBR218C,3543,0.5,0.141,4.446
YBR219C,384,2,5.208,164.08
YBR220C,1683,0,0,0
YBR221C,1101,5,4.541,143.067
YBR221W-A,105,0,0,0
YBR222C,1632,2,1.225,38.607
YBR223C,1635,0,0,0
YBR225W,2703,0,0,0
YBR227C,1563,0,0,0
YBR228W,915,0,0,0
YBR229C,2865,0,0,0
YBR230C,405,0,0,0
YBR230W-A,201,2,9.95,313.467
YBR231C,912,1,1.096,34.543
YBR233W,1242,1,0.805,25.365
YBR233W-A,285,2,7.018,221.077
YBR234C,1155,0,0,0
YBR235W,3363,0,0,0
YBR236C,1311,0,0,0
YBR237W,2550,0,0,0
YBR238C,2196,0,0,0
YBR239C,1590,1,0.629,19.813
YBR240C,1353,0,0,0
YBR241C,1467,0,0,0
YBR242W,717,2,2.789,87.876
YBR243C,1347,1,0.742,23.388
YBR244W,489,8,16.36,515.393
YBR245C,3390,0,0,0
YBR246W,1164,1,0.859,27.065
YBR247C,1452,1,0.689,21.697
YBR248C,1659,9,5.425,170.905
YBR249C,1113,9,8.086,254.745
YBR250W,1572,0,0,0
YBR251W,924,1,1.082,34.095
YBR252W,444,12,27.027,851.444
YBR253W,366,0,0,0
YBR254C,528,3,5.682,178.997
YBR255W,2085,0,0,0
YBR255C-A,363,0,0,0
YBR256C,717,3,4.184,131.813
YBR257W,840,4,4.762,150.016
YBR258C,429,0,0,0
YBR259W,2067,0,0,0
YBR260C,2001,0,0,0
YBR261C,699,0,0,0
YBR262C,321,4,12.461,392.566
YBR263W,1473,1,0.679,21.387
YBR264C,600,0,0,0
YBR265W,963,0,0,0
YBR267W,1182,1,0.846,26.653
YBR268W,318,0,0,0
YBR269C,417,0,0,0
YBR270C,1638,0,0,0
YBR271W,1260,0,0,0
YBR272C,1443,1,0.693,21.832
