Gene,SeqLen,Count,Count/Kb,FPKM
YAL068C,363,7.226,19.906,2.201
YAL067W-A,228,11,48.246,5.335
YAL067C,1782,43,24.13,2.668
YAL065C,387,84.011,217.084,24.006
YAL064W-B,381,120.119,315.272,34.864
YAL064C-A,381,6.024,15.81,1.748
YAL064W,285,7,24.561,2.716
YAL063C-A,291,9,30.928,3.42
YAL063C,3969,1041.677,262.453,29.023
YAL062W,1374,77,56.041,6.197
YAL061W,1254,55,43.86,4.85
YAL060W,1149,1876,1632.724,180.552
YAL059W,639,406,635.368,70.261
YAL058W,1509,436,288.933,31.951
YAL056W,2643,517,195.611,21.631
YAL055W,543,140,257.827,28.511
YAL054C,2142,106,49.486,5.472
YAL053W,2352,1212,515.306,56.984
YAL051W,3144,342,108.779,12.029
YAL049C,741,1343,1812.416,200.423
YAL048C,1989,214,107.592,11.898
YAL047C,1869,127,67.951,7.514
YAL046C,357,261,731.092,80.847
YAL044W-A,333,357,1072.072,118.554
YAL044C,513,1717,3346.979,370.121
YAL043C,2358,437,185.327,20.494
YAL042W,1248,3212,2573.718,284.611
YAL041W,2565,587,228.85,25.307
YAL040C,1743,151,86.632,9.58
YAL039C,810,225,277.778,30.718
YAL038W,1503,32267,21468.397,2374.052
YAL037C-A,93,187,2010.753,222.356
YAL037W,804,65,80.846,8.94
YAL036C,1110,1434,1291.892,142.862
YAL035W,3009,2311,768.029,84.931
YAL034W-A,870,208,239.08,26.438
YAL034C,1242,101,81.32,8.993
YAL033W,522,361,691.571,76.476
YAL032C,1140,340,298.246,32.981
YAL031C,2283,253,110.819,12.255
YAL030W,354,391,1104.52,122.142
YAL029C,4416,1023,231.658,25.618
YAL028W,1587,123,77.505,8.571
YAL027W,786,292,371.501,41.082
YAL026C,4068,1098,269.912,29.848
YAL025C,921,1043,1132.465,125.232
YAL024C,4308,239,55.478,6.135
YAL023C,2280,4353,1909.211,211.127
YAL022C,1554,758,487.773,53.94
YAL021C,2514,484,192.522,21.29
YAL020C,1002,308,307.385,33.992
YAL019W,3396,848,249.706,27.613
YAL018C,978,2,2.045,0.226
YAL017W,4071,556,136.576,15.103
YAL016W,1908,2456,1287.212,142.344
YAL015C,1200,457,380.833,42.114
YAL014C,768,466,606.771,67.099
YAL013W,1218,337,276.683,30.597
YAL012W,1185,1636,1380.591,152.671
YAL011W,1878,237,126.198,13.955
YAL010C,1482,254,171.39,18.953
YAL009W,780,487,624.359,69.044
YAL008W,597,207,346.734,38.343
YAL007C,648,5166,7972.222,881.597
YAL005C,1929,1984.571,1028.808,113.769
YAL003W,621,12533,20181.965,2231.794
YAL002W,3825,286,74.771,8.268
YAL001C,3483,663,190.353,21.05
YAR002W,1620,989,610.494,67.511
YAR002C-A,660,7026,10645.455,1177.213
YAR003W,1281,1830,1428.571,157.977
YAR007C,1866,998,534.834,59.144
YAR008W,828,233,281.401,31.118
YAR009C,3591,70.578,19.654,2.173
YAR010C,1323,0.51,0.385,0.043
YAR014C,2130,734,344.601,38.107
YAR015W,921,533,578.719,63.997
YAR018C,1308,131,100.153,11.075
