,Gene,SeqLen,Count,Count/Kb,FPKM
0,YNR074C,1137,2102.0,1848.725,157.144
1,YJR089W,2865,794.0,277.138,23.557
2,YML078W,549,1153.0,2100.1820000000002,178.519
3,YKR071C,1047,2175.0,2077.364,176.579
4,YGR098C,4893,407.0,83.18,7.07
5,YIL065C,468,378.0,807.692,68.655
6,YOR197W,1299,1597.0,1229.407,104.50200000000001
7,YDL003W,1701,1821.0,1070.547,90.99799999999999
8,YNL123W,2994,1229.0,410.48800000000006,34.891999999999996
9,YJL208C,990,493.0,497.98,42.32899999999999
10,YHR179W,1203,5909.0,4911.887,417.51800000000003
11,YPL171C,1203,24.0,19.95,1.696
12,YBL030C,957,4470.0,4670.846,397.029
13,YNL055C,852,3080.0,3615.0229999999997,307.283
14,YPL123C,1305,551.0,422.222,35.89
15,YIL016W,480,670.0,1395.8329999999999,118.648
16,YJR009C,999,35324.861000000004,35360.221,3005.673
17,YGR192C,999,156495.755,156652.408,13315.696000000002
18,YOR297C,579,329.0,568.221,48.3
19,YMR074C,438,1546.0,3529.68,300.028
20,YDR326C,4317,572.0,132.499,11.263
21,YBL055C,1257,1365.0,1085.9189999999999,92.305
22,YIL097W,1551,306.0,197.292,16.77
23,YMR095C,675,331.0,490.37,41.681999999999995
24,YLR150W,822,14347.0,17453.771,1483.5970000000002
25,YML120C,1542,1001.0,649.1569999999999,55.178999999999995
26,YHL007C,2820,661.0,234.39700000000002,19.924
27,YPR048W,1872,877.0,468.483,39.821999999999996
28,YDR113C,1122,202.0,180.03599999999997,15.302999999999999
29,YLL001W,2274,982.0,431.838,36.707
30,YJL112W,2145,1126.0,524.942,44.621
31,YOR043W,1461,613.0,419.57599999999996,35.665
32,YKR036C,1932,370.0,191.511,16.279
33,YOL149W,696,799.0,1147.989,97.581
34,YNL118C,2913,1666.0,571.919,48.614
35,YJL124C,519,802.0,1545.279,131.351
36,YER112W,564,1124.0,1992.908,169.4
37,YER110C,3342,1982.0,593.058,50.411
38,YDL042C,1689,166.0,98.28299999999999,8.354
39,YPL116W,2094,503.0,240.21,20.418
40,YHR155W,3687,560.0,151.885,12.91
41,YOL002C,954,938.0,983.2289999999999,83.57600000000001
42,YKL056C,504,21807.0,43267.857,3677.8340000000003
43,YNL098C,969,4878.0,5034.056,427.902
44,YDL126C,2508,15646.0,6238.437,530.2769999999999
45,YJL194W,1542,118.0,76.524,6.505
46,YNL186W,2379,496.0,208.49099999999999,17.722
47,YER019W,1434,427.0,297.768,25.311
48,YFL010C,636,963.8539999999999,1515.494,128.819
49,YNL305C,894,840.0,939.597,79.867
50,YGL160W,1713,1656.0,966.725,82.17299999999999
