Gene,SeqLen,Count,Count/Kb,FPKM
YAL068C,363,0,0,0
YAL067W-A,228,0,0,0
YAL067C,1782,0,0,0
YAL065C,387,1,2.584,103.529
YAL064W-B,381,2,5.249,210.319
YAL064C-A,381,0,0,0
YAL064W,285,0,0,0
YAL063C-A,291,0,0,0
YAL063C,3969,0,0,0
YAL062W,1374,0,0,0
YAL061W,1254,0,0,0
YAL060W,1149,1,0.87,34.87
YAL059W,639,0,0,0
YAL058W,1509,0,0,0
YAL056W,2643,0,0,0
YAL055W,543,0,0,0
YAL054C,2142,0,0,0
YAL053W,2352,1,0.425,17.035
YAL051W,3144,0,0,0
YAL049C,741,1,1.35,54.07
YAL048C,1989,0,0,0
YAL047C,1869,0,0,0
YAL046C,357,1,2.801,112.229
YAL044W-A,333,3,9.009,360.953
YAL044C,513,2,3.899,156.202
YAL043C,2358,0,0,0
YAL042W,1248,3,2.404,96.312
YAL041W,2565,0,0,0
YAL040C,1743,0,0,0
YAL039C,810,0,0,0
YAL038W,1503,121,80.506,3225.526
YAL037C-A,93,1,10.753,430.815
YAL037W,804,0,0,0
YAL036C,1110,10,9.009,360.953
YAL035W,3009,5,1.662,66.577
YAL034W-A,870,0,0,0
YAL034C,1242,0,0,0
YAL033W,522,0,0,0
YAL032C,1140,0,0,0
YAL031C,2283,0,0,0
YAL030W,354,5,14.124,565.902
YAL029C,4416,0,0,0
YAL028W,1587,0,0,0
YAL027W,786,0,0,0
YAL026C,4068,0,0,0
YAL025C,921,1,1.086,43.503
YAL024C,4308,1,0.232,9.3
YAL023C,2280,0,0,0
YAL022C,1554,0,0,0
YAL021C,2514,2,0.796,31.874
YAL020C,1002,0,0,0
YAL019W,3396,0,0,0
YAL018C,978,0,0,0
YAL017W,4071,0,0,0
YAL016W,1908,1,0.524,20.999
YAL015C,1200,0,0,0
YAL014C,768,0,0,0
YAL013W,1218,1,0.821,32.895
YAL012W,1185,15,12.658,507.162
YAL011W,1878,1,0.532,21.334
YAL010C,1482,0,0,0
YAL009W,780,0,0,0
YAL008W,597,0,0,0
YAL007C,648,15,23.148,927.45
YAL005C,1929,16.5,8.554,342.709
YAL003W,621,26,41.868,1677.474
YAL002W,3825,0,0,0
YAL001C,3483,0,0,0
YAR002W,1620,1,0.617,24.732
YAR002C-A,660,6,9.091,364.235
YAR003W,1281,0,0,0
YAR007C,1866,2,1.072,42.943
YAR008W,828,0,0,0
YAR009C,3591,0.042,0.012,0.465
YAR010C,1323,0.36,0.272,10.906
YAR014C,2130,2,0.939,37.621
YAR015W,921,1,1.086,43.503
YAR018C,1308,0,0,0
YAR019C,2925,0,0,0
YAR020C,168,0,0,0
YAR023C,540,0,0,0
YAR027W,708,1,1.412,56.59
YAR028W,705,0,0,0
YAR029W,225,0,0,0
YAR031W,897,0,0,0
YAR033W,705,0,0,0
YAR035W,2064,0,0,0
YAR035C-A,81,0,0,0
YAR042W,3567,0,0,0
YAR050W,4614,0,0,0
YAR064W,300,0,0,0
YAR066W,612,0,0,0
YAR068W,486,10,20.576,824.4
YAR071W,1404,0,0,0
YBL113C,2379,0.1,0.042,1.684
YBL112C,318,0,0,0
YBL111C,2004,0,0,0
YBL108C-A,129,0,0,0
YBL107C,591,1,1.692,67.793
YBL106C,3033,0,0,0
YBL105C,3456,0,0,0
YBL104C,3117,0,0,0
YBL103C,1461,0,0,0
YBL102W,648,1,1.543,61.83
YBL101C,3354,0,0,0
YBL100W-C,120,0,0,0
YBL100W-B,5313,0.431,0.081,3.25
YBL100W-A,1317,3.1,2.354,94.308
YBL099W,1638,5,3.053,122.301
YBL098W,1383,0,0,0
YBL097W,2265,0,0,0
YBL095W,813,0,0,0
YBL093C,663,1,1.508,60.431
YBL092W,393,71,180.662,7238.357
YBL091C-A,528,1,1.894,75.882
YBL091C,1266,3,2.37,94.943
YBL090W,534,0,0,0
YBL089W,1380,0,0,0
YBL088C,8364,0,0,0
YBL087C,414,30,72.464,2903.321
YBL086C,1401,0,0,0
YBL085W,2943,1,0.34,13.614
YBL084C,2277,1,0.439,17.596
YBL082C,1377,1,0.726,29.096
YBL081W,1107,0,0,0
YBL080C,1626,0,0,0
YBL079W,4509,0,0,0
YBL078C,354,2,5.65,226.361
YBL076C,3219,1,0.311,12.447
YBL075C,1950,0,0,0
YBL074C,1068,1,0.936,37.515
YBL072C,603,3.5,5.804,232.555
YBL071C-B,99,0,0,0
YBL071W-A,249,1,4.016,160.907
YBL071C,309,0,0,0
YBL069W,1290,1,0.775,31.059
YBL068W,981,0,0,0
YBL067C,2244,0,0,0
YBL066C,3447,0,0,0
YBL064C,786,3,3.817,152.923
YBL063W,3336,0,0,0
YBL061C,2091,6,2.869,114.967
YBL060W,2064,0,0,0
YBL059C-A,330,0,0,0
YBL059W,582,0,0,0
YBL058W,1272,2,1.572,62.997
YBL057C,627,0,0,0
YBL056W,1407,2,1.421,56.952
YBL055C,1257,1,0.796,31.874
YBL054W,1578,1,0.634,25.39
YBL052C,2496,1,0.401,16.052
YBL051C,2007,0,0,0
YBL050W,879,0,0,0
YBL049W,417,0,0,0
YBL048W,312,0,0,0
YBL047C,4146,3,0.724,28.991
YBL046W,1326,1,0.754,30.216
YBL045C,1374,2,1.456,58.32
YBL044W,369,0,0,0
YBL043W,774,0,0,0
YBL042C,1920,0,0,0
YBL041W,726,3,4.132,165.561
YBL040C,660,4,6.061,242.823
YBL039W-B,180,1,5.556,222.588
YBL039C,1740,8,4.598,184.211
YBL038W,699,0,0,0
YBL037W,3078,0,0,0
YBL036C,774,1,1.292,51.765
YBL035C,2118,0,0,0
YBL034C,4542,1,0.22,8.821
YBL033C,1038,0,0,0
YBL032W,1146,0,0,0
YBL031W,1017,0,0,0
YBL030C,957,3,3.135,125.598
YBL029C-A,285,2,7.018,281.164
YBL029W,1131,0,0,0
YBL028C,321,6,18.692,748.894
YBL027W,570,5,8.772,351.455
YBL026W,288,6,20.833,834.705
YBL025W,438,0,0,0
YBL024W,2055,9,4.38,175.471
YBL023C,2607,0,0,0
YBL022C,3402,0,0,0
YBL021C,435,1,2.299,92.105
YBL020W,1725,2,1.159,46.453
YBL019W,1563,2,1.28,51.268
YBL018C,402,0,0,0
YBL017C,4740,0,0,0
YBL016W,1062,1,0.942,37.727
YBL015W,1581,0,0,0
YBL014C,2685,0,0,0
YBL013W,1206,0,0,0
YBL011W,2280,0,0,0
YBL010C,843,2,2.372,95.055
YBL009W,2031,1,0.492,19.727
YBL008W-A,240,0,0,0
YBL008W,2523,0,0,0
YBL007C,3735,7,1.874,75.09
YBL006C,543,1,1.842,73.786
YBL005W,2931,0,0,0
YBL005W-B,5268,0.148,0.028,1.127
YBL005W-A,1323,0,0,0
YBL004W,7482,2,0.267,10.71
YBL003C,399,47.5,119.048,4769.742
YBL002W,396,11,27.778,1112.94
YBL001C,315,25,79.365,3179.828
YBR001C,2343,0,0,0
YBR002C,861,0,0,0
YBR003W,1422,1,0.703,28.176
YBR004C,1302,2,1.536,61.545
YBR005W,642,1,1.558,62.408
YBR006W,1494,0,0,0
YBR007C,2211,0,0,0
YBR008C,1647,0,0,0
YBR009C,312,9,28.846,1155.745
YBR010W,411,28.5,69.343,2778.288
YBR011C,864,6,6.944,278.235
YBR012W-B,5271,0.152,0.029,1.152
YBR012W-A,1323,0.36,0.272,10.906
YBR013C,390,1,2.564,102.733
YBR014C,612,1,1.634,65.467
YBR015C,1794,2,1.115,44.666
YBR016W,387,40,103.359,4141.171
YBR017C,2757,0,0,0
YBR018C,1101,0,0,0
YBR019C,2100,0,0,0
YBR020W,1587,0,0,0
YBR021W,1902,0,0,0
YBR022W,534,0,0,0
YBR023C,3498,0,0,0
YBR024W,906,0,0,0
YBR025C,1185,9,7.595,304.297
YBR026C,1143,0,0,0
YBR027C,333,0,0,0
YBR028C,1578,0,0,0
YBR029C,1374,0,0,0
YBR030W,1659,0,0,0
YBR031W,1089,22.5,20.661,827.806
YBR032W,303,0,0,0
YBR033W,2760,0,0,0
YBR034C,1047,1,0.955,38.267
YBR035C,687,2,2.911,116.64
YBR036C,1233,1,0.811,32.495
YBR037C,888,0,0,0
YBR038W,2892,0,0,0
YBR039W,936,3,3.205,128.416
YBR040W,897,0,0,0
YBR041W,2010,1,0.498,19.933
YBR042C,1194,1,0.838,33.556
YBR043C,2070,0,0,0
YBR044C,1719,1,0.582,23.308
YBR045C,1920,0,0,0
YBR046C,1005,0,0,0
YBR047W,528,0,0,0
YBR048W,471,60.5,128.45,5146.46
YBR049C,2433,1,0.411,16.468
YBR050C,1017,0,0,0
YBR052C,633,5,7.899,316.476
YBR053C,1077,1,0.929,37.201
YBR054W,1035,0,0,0
YBR055C,2700,1,0.37,14.839
YBR056W,1506,3,1.992,79.812
YBR056W-A,201,41,203.98,8172.633
YBR057C,1101,1,0.908,36.39
YBR058C,2346,3,1.279,51.235
YBR058C-A,243,0,0,0
YBR059C,3327,0,0,0
YBR060C,1863,3,1.61,64.518
YBR061C,933,3,3.215,128.829
YBR062C,543,0,0,0
YBR063C,1215,1,0.823,32.976
YBR065C,1095,0,0,0
YBR066C,663,3,4.525,181.293
YBR067C,633,0,0,0
YBR068C,1830,2,1.093,43.788
YBR069C,1860,1,0.538,21.541
YBR070C,714,0,0,0
YBR071W,636,0,0,0
YBR072W,645,0,0,0
YBR072C-A,162,0,0,0
YBR073W,2877,1,0.348,13.926
YBR074W,2931,0,0,0
YBR076W,1065,0,0,0
YBR077C,489,7,14.315,573.54
YBR078W,1290,6,4.651,186.353
YBR079C,2895,1,0.345,13.84
YBR080C,2277,1,0.439,17.596
YBR081C,3999,1,0.25,10.019
YBR082C,447,41,91.723,3674.942
YBR083W,1461,0,0,0
YBR084W,2928,0,0,0
YBR084C-A,570,5,8.772,351.455
YBR085W,924,0,0,0
YBR085C-A,258,13,50.388,2018.821
YBR086C,2841,0,0,0
YBR087W,1065,1,0.939,37.621
YBR088C,777,0,0,0
YBR089C-A,300,1.5,5,200.329
YBR090C,369,1.5,4.065,162.869
YBR091C,330,5,15.152,607.058
YBR092C,1404,0,0,0
YBR093C,1404,0,0,0
YBR094W,2262,0,0,0
YBR095C,1293,0,0,0
YBR096W,693,1,1.443,57.815
YBR097W,4365,0,0,0
YBR098W,2076,1,0.482,19.3
YBR101C,873,3,3.436,137.683
YBR102C,2262,0,0,0
YBR103W,1608,0,0,0
YBR104W,990,1,1.01,40.471
YBR105C,1089,0,0,0
YBR106W,567,7,12.346,494.64
YBR107C,738,0,0,0
YBR108W,2844,1,0.352,14.088
YBR109C,444,16,36.036,1443.814
YBR110W,1350,2,1.481,59.357
YBR111C,696,2,2.874,115.132
YBR111W-A,291,1,3.436,137.683
YBR112C,2901,0,0,0
YBR114W,2373,1,0.421,16.884
YBR115C,4179,1,0.239,9.587
YBR117C,2046,0,0,0
YBR118W,1377,77,55.919,2240.428
YBR119W,897,0,0,0
YBR120C,489,4,8.18,327.737
YBR121C,2004,6,2.994,119.958
YBR122C,534,4,7.491,300.119
YBR123C,1950,6,3.077,123.279
YBR125C,1182,0,0,0
YBR126C,1488,3,2.016,80.778
YBR126W-A,207,12,57.971,2322.657
YBR127C,1554,8,5.148,206.259
YBR128C,1035,0,0,0
YBR129C,987,1,1.013,40.594
YBR130C,1278,0,0,0
YBR131W,2115,2,0.946,37.887
YBR132C,1791,0,0,0
YBR133C,2484,0,0,0
YBR135W,453,6,13.245,530.673
YBR136W,7107,0,0,0
YBR137W,540,3,5.556,222.588
YBR138C,1575,0,0,0
YBR139W,1527,0,0,0
YBR140C,9279,0,0,0
YBR141C,1014,0,0,0
YBR142W,2322,1,0.431,17.255
YBR143C,1314,16,12.177,487.864
YBR144C,315,0,0,0
YBR145W,1056,1,0.947,37.941
YBR146W,837,3,3.584,143.605
YBR147W,891,0,0,0
YBR148W,1830,0,0,0
YBR149W,1035,15,14.493,580.664
YBR150C,3285,0,0,0
YBR151W,951,0,0,0
YBR152W,876,0,0,0
YBR153W,735,0,0,0
YBR154C,648,5,7.716,309.15
YBR155W,1158,0,0,0
YBR156C,2097,1,0.477,19.106
YBR157C,768,0,0,0
YBR158W,1650,0,0,0
YBR159W,1044,2,1.916,76.754
YBR160W,897,1,1.115,44.666
YBR161W,1131,0,0,0
YBR162C,1368,3,2.193,87.864
YBR162W-A,198,5,25.253,1011.763
YBR163W,1758,2,1.138,45.581
YBR164C,552,0,0,0
YBR165W,834,1,1.199,48.041
YBR166C,1359,0,0,0
YBR167C,423,0,0,0
YBR168W,1242,0,0,0
YBR169C,2082,0,0,0
YBR170C,1743,2,1.147,45.973
YBR171W,621,13,20.934,838.737
YBR172C,2223,0,0,0
YBR173C,447,9,20.134,806.695
YBR175W,948,1,1.055,42.264
YBR176W,939,0,0,0
YBR177C,1356,2,1.475,59.094
YBR179C,2568,1,0.389,15.602
YBR180W,1719,0,0,0
YBR181C,711,6.5,9.142,366.284
YBR182C,1359,0,0,0
YBR182C-A,195,0,0,0
YBR183W,951,0,0,0
YBR184W,1572,0,0,0
YBR185C,837,0,0,0
YBR186W,1695,0,0,0
YBR187W,843,2,2.372,95.055
YBR188C,423,0,0,0
YBR189W,588,7.5,12.755,511.044
YBR191W,483,63,130.435,5225.978
YBR192W,1134,0,0,0
YBR193C,672,0,0,0
YBR194W,372,2,5.376,215.408
YBR195C,1269,0,0,0
YBR196C,1665,23,13.814,553.462
YBR196C-A,150,0,0,0
YBR196C-B,105,0,0,0
YBR197C,654,0,0,0
YBR198C,2397,0,0,0
YBR199W,1395,1,0.717,28.721
YBR200W,1656,0,0,0
YBR200W-A,165,0,0,0
YBR201W,636,0,0,0
YBR201C-A,204,0,0,0
YBR202W,2538,0,0,0
YBR203W,2775,0,0,0
YBR204C,1128,0,0,0
YBR205W,1215,2,1.646,65.952
YBR207W,1398,1,0.715,28.659
YBR208C,5508,0,0,0
YBR209W,318,0,0,0
YBR210W,429,1,2.331,93.394
YBR211C,975,0,0,0
YBR212W,2019,2,0.991,39.689
YBR213W,825,1,1.212,48.565
YBR214W,1584,2,1.263,50.588
YBR215W,1878,4,2.13,85.337
YBR216C,2025,2,0.988,39.571
YBR217W,561,0,0,0
YBR218C,3543,0,0,0
YBR219C,384,0,0,0
YBR220C,1683,0,0,0
YBR221C,1101,4,3.633,145.562
YBR221W-A,105,0,0,0
YBR222C,1632,0,0,0
YBR223C,1635,0,0,0
YBR225W,2703,0,0,0
YBR227C,1563,1,0.64,25.634
YBR228W,915,0,0,0
YBR229C,2865,0,0,0
YBR230C,405,2,4.938,197.856
YBR230W-A,201,1,4.975,199.333
YBR231C,912,2,2.193,87.864
YBR233W,1242,4,3.221,129.036
YBR233W-A,285,0,0,0
YBR234C,1155,1,0.866,34.689
YBR235W,3363,0,0,0
YBR236C,1311,1,0.763,30.561
YBR237W,2550,0,0,0
YBR238C,2196,0,0,0
YBR239C,1590,0,0,0
YBR240C,1353,0,0,0
YBR241C,1467,0,0,0
YBR242W,717,0,0,0
YBR243C,1347,2,1.485,59.489
YBR244W,489,103,210.634,8439.224
YBR245C,3390,2,0.59,23.638
YBR246W,1164,11,9.45,378.629
YBR247C,1452,2,1.377,55.187
YBR248C,1659,8,4.822,193.205
YBR249C,1113,6,5.391,215.988
YBR250W,1572,0,0,0
YBR251W,924,0,0,0
YBR252W,444,15,33.784,1353.575
YBR253W,366,0,0,0
YBR254C,528,0,0,0
YBR255W,2085,0,0,0
YBR255C-A,363,0,0,0
YBR256C,717,1,1.395,55.88
YBR257W,840,3,3.571,143.092
YBR258C,429,0,0,0
YBR259W,2067,0,0,0
YBR260C,2001,0,0,0
YBR261C,699,0,0,0
YBR262C,321,0,0,0
YBR263W,1473,2,1.358,54.4
YBR264C,600,2,3.333,133.553
YBR265W,963,0,0,0
YBR267W,1182,0,0,0
YBR268W,318,2,6.289,251.986
