,Gene,SeqLen,Count,Count/Kb,FPKM
0,YAL068C,363,0.0,0.0,0.0
1,YAL067W-A,228,0.0,0.0,0.0
2,YAL067C,1782,0.0,0.0,0.0
3,YAL065C,387,2.0,5.167999999999999,162.808
4,YAL064W-B,381,1.0,2.625,82.686
5,YAL064C-A,381,0.0,0.0,0.0
6,YAL064W,285,0.0,0.0,0.0
7,YAL063C-A,291,0.0,0.0,0.0
8,YAL063C,3969,0.0,0.0,0.0
9,YAL062W,1374,0.0,0.0,0.0
10,YAL061W,1254,0.0,0.0,0.0
11,YAL060W,1149,2.0,1.7409999999999999,54.836000000000006
12,YAL059W,639,7.0,10.955,345.108
13,YAL058W,1509,0.0,0.0,0.0
14,YAL056W,2643,0.0,0.0,0.0
15,YAL055W,543,0.0,0.0,0.0
16,YAL054C,2142,0.0,0.0,0.0
17,YAL053W,2352,0.0,0.0,0.0
18,YAL051W,3144,0.0,0.0,0.0
19,YAL049C,741,2.0,2.699,85.029
20,YAL048C,1989,0.0,0.0,0.0
21,YAL047C,1869,0.0,0.0,0.0
22,YAL046C,357,3.0,8.402999999999999,264.735
23,YAL044W-A,333,0.0,0.0,0.0
24,YAL044C,513,14.0,27.29,859.742
25,YAL043C,2358,0.0,0.0,0.0
26,YAL042W,1248,1.0,0.8009999999999999,25.243000000000002
27,YAL041W,2565,0.0,0.0,0.0
28,YAL040C,1743,1.0,0.574,18.074
29,YAL039C,810,0.0,0.0,0.0
30,YAL038W,1503,87.0,57.88399999999999,1823.5510000000002
31,YAL037C-A,93,0.0,0.0,0.0
32,YAL037W,804,0.0,0.0,0.0
33,YAL036C,1110,4.0,3.6039999999999996,113.52600000000001
34,YAL035W,3009,17.0,5.65,177.985
35,YAL034W-A,870,0.0,0.0,0.0
36,YAL034C,1242,0.0,0.0,0.0
37,YAL033W,522,0.0,0.0,0.0
38,YAL032C,1140,0.0,0.0,0.0
39,YAL031C,2283,0.0,0.0,0.0
40,YAL030W,354,1.0,2.825,88.993
41,YAL029C,4416,0.0,0.0,0.0
42,YAL028W,1587,0.0,0.0,0.0
43,YAL027W,786,0.0,0.0,0.0
44,YAL026C,4068,0.0,0.0,0.0
45,YAL025C,921,2.0,2.1719999999999997,68.411
46,YAL024C,4308,0.0,0.0,0.0
47,YAL023C,2280,3.0,1.3159999999999998,41.452
48,YAL022C,1554,1.0,0.644,20.272000000000002
49,YAL021C,2514,4.0,1.591,50.125
50,YAL020C,1002,0.0,0.0,0.0
51,YAL019W,3396,0.0,0.0,0.0
52,YAL018C,978,0.0,0.0,0.0
53,YAL017W,4071,0.0,0.0,0.0
54,YAL016W,1908,0.0,0.0,0.0
55,YAL015C,1200,0.0,0.0,0.0
56,YAL014C,768,0.0,0.0,0.0
57,YAL013W,1218,1.0,0.821,25.865
58,YAL012W,1185,8.0,6.751,212.68099999999998
59,YAL011W,1878,1.0,0.532,16.775
60,YAL010C,1482,0.0,0.0,0.0
61,YAL009W,780,0.0,0.0,0.0
62,YAL008W,597,0.0,0.0,0.0
63,YAL007C,648,6.0,9.259,291.698
64,YAL005C,1929,18.0,9.331,293.967
65,YAL003W,621,176.0,283.414,8928.506
66,YAL002W,3825,0.0,0.0,0.0
67,YAL001C,3483,0.0,0.0,0.0
68,YAR002W,1620,1.0,0.617,19.447
69,YAR002C-A,660,19.0,28.788,906.9169999999999
70,YAR003W,1281,0.0,0.0,0.0
71,YAR007C,1866,2.0,1.072,33.766
72,YAR008W,828,2.0,2.415,76.095
73,YAR009C,3591,0.0,0.0,0.0
74,YAR010C,1323,0.153,0.11599999999999999,3.6519999999999997
75,YAR014C,2130,0.0,0.0,0.0
76,YAR015W,921,0.0,0.0,0.0
77,YAR018C,1308,1.0,0.765,24.085
