Gene,SeqLen,Count,Count/Kb,FPKM
YAL068C,363,3.049,8.401,0.774
YAL067W-A,228,4,17.544,1.616
YAL067C,1782,63,35.354,3.257
YAL065C,387,208.121,537.781,49.539
YAL064W-B,381,212.434,557.569,51.362
YAL064C-A,381,14.034,36.835,3.393
YAL064W,285,13,45.614,4.202
YAL063C-A,291,19,65.292,6.015
YAL063C,3969,1567.487,394.933,36.38
YAL062W,1374,48.017,34.947,3.219
YAL061W,1254,70,55.821,5.142
YAL060W,1149,4033,3510.009,323.334
YAL059W,639,1271,1989.045,183.226
YAL058W,1509,589,390.325,35.956
YAL056W,2643,399,150.965,13.907
YAL055W,543,93,171.271,15.777
YAL054C,2142,100,46.685,4.301
YAL053W,2352,750,318.878,29.374
YAL051W,3144,304,96.692,8.907
YAL049C,741,1261,1701.754,156.762
YAL048C,1989,262,131.724,12.134
YAL047C,1869,139,74.371,6.851
YAL046C,357,320,896.359,82.57
YAL044W-A,333,279,837.838,77.18
YAL044C,513,3019,5884.99,542.112
YAL043C,2358,448,189.992,17.502
YAL042W,1248,2930,2347.756,216.27
YAL041W,2565,617,240.546,22.159
YAL040C,1743,281,161.216,14.851
YAL039C,810,642,792.593,73.012
YAL038W,1503,34307,22825.682,2102.649
YAL037C-A,93,182,1956.989,180.273
YAL037W,804,37,46.02,4.239
YAL036C,1110,2511,2262.162,208.385
YAL035W,3009,3467,1152.21,106.139
YAL034W-A,870,174,200,18.424
YAL034C,1242,65,52.335,4.821
YAL033W,522,579,1109.195,102.176
YAL032C,1140,242,212.281,19.555
YAL031C,2283,255,111.695,10.289
YAL030W,354,238,672.316,61.932
YAL029C,4416,1268,287.138,26.45
YAL028W,1587,60,37.807,3.483
YAL027W,786,230,292.621,26.956
YAL026C,4068,825,202.802,18.682
YAL025C,921,2152,2336.591,215.241
YAL024C,4308,301,69.87,6.436
YAL023C,2280,2091,917.105,84.482
YAL022C,1554,840,540.541,49.793
YAL021C,2514,573,227.924,20.996
YAL020C,1002,397,396.208,36.498
YAL019W,3396,1009,297.114,27.369
YAL018C,978,0,0,0
YAL017W,4071,516,126.75,11.676
YAL016W,1908,2095,1098.008,101.146
YAL015C,1200,541,450.833,41.53
YAL014C,768,292,380.208,35.024
YAL013W,1218,367,301.314,27.756
YAL012W,1185,1896,1600,147.388
YAL011W,1878,184,97.977,9.025
YAL010C,1482,223,150.472,13.861
YAL009W,780,403,516.667,47.594
YAL008W,597,199,333.333,30.706
YAL007C,648,1661,2563.272,236.123
YAL005C,1929,2672.429,1385.396,127.619
YAL003W,621,19554,31487.923,2900.594
YAL002W,3825,201,52.549,4.841
YAL001C,3483,752,215.906,19.889
YAR002W,1620,1039,641.358,59.08
YAR002C-A,660,2706,4100,377.682
YAR003W,1281,874,682.279,62.85
YAR007C,1866,1225,656.484,60.474
YAR008W,828,442,533.816,49.174
YAR009C,3591,58.105,16.181,1.491
YAR010C,1323,1.879,1.42,0.131
YAR014C,2130,977,458.685,42.253
YAR015W,921,892,968.512,89.217
YAR018C,1308,414,316.514,29.157
YAR019C,2925,129,44.103,4.063
YAR020C,168,8.66,51.546,4.748
YAR023C,540,73,135.185,12.453
YAR027W,708,236.067,333.427,30.715
YAR028W,705,291.933,414.09,38.145
YAR029W,225,31,137.778,12.692
YAR031W,897,17.348,19.34,1.782
YAR033W,705,176.217,249.954,23.025
YAR035W,2064,13,6.298,0.58
YAR035C-A,81,0,0,0
YAR042W,3567,449,125.876,11.595
YAR050W,4614,812.15,176.019,16.214
YAR064W,300,2.9,9.667,0.89
YAR066W,612,108.541,177.355,16.338
YAR068W,486,2402.166,4942.728,455.313
YAR071W,1404,34.196,24.356,2.244
YBL113C,2379,211.689,88.982,8.197
YBL112C,318,2.618,8.234,0.758
YBL111C,2004,1.776,0.886,0.082
YBL108C-A,129,0.014,0.105,0.01
YBL107C,591,647,1094.755,100.846
YBL106C,3033,204,67.26,6.196
YBL105C,3456,687,198.785,18.312
YBL104C,3117,460,147.578,13.595
YBL103C,1461,523,357.974,32.976
YBL102W,648,615,949.074,87.426
YBL101C,3354,136,40.549,3.735
YBL100W-C,120,1,8.333,0.768
YBL100W-B,5313,193.341,36.39,3.352
YBL100W-A,1317,0.41,0.311,0.029
YBL099W,1638,5072,3096.459,285.239
YBL098W,1383,665,480.839,44.294
YBL097W,2265,272,120.088,11.062
YBL095W,813,509,626.076,57.673
YBL093C,663,892,1345.4,123.935
YBL092W,393,16247,41340.967,3808.234
YBL091C-A,528,110,208.333,19.191
YBL091C,1266,1336,1055.292,97.211
YBL090W,534,866,1621.723,149.389
YBL089W,1380,491,355.797,32.775
YBL088C,8364,284,33.955,3.128
YBL087C,414,18246.418,44073.473,4059.946
YBL086C,1401,401,286.224,26.366
YBL085W,2943,779,264.696,24.383
YBL084C,2277,350,153.711,14.16
YBL082C,1377,445,323.166,29.769
YBL081W,1107,332,299.91,27.627
YBL080C,1626,384,236.162,21.755
YBL079W,4509,1179,261.477,24.087
YBL078C,354,159,449.153,41.375
YBL076C,3219,6519,2025.163,186.553
YBL075C,1950,253,129.744,11.952
YBL074C,1068,153,143.258,13.197
YBL072C,603,30197.942,50079.506,4613.207
YBL071C-B,99,16,161.616,14.888
YBL071W-A,249,279,1120.482,103.216
YBL071C,309,299,967.638,89.137
YBL069W,1290,311,241.085,22.208
YBL068W,981,844,860.347,79.253
YBL067C,2244,785,349.822,32.225
YBL066C,3447,174,50.479,4.65
YBL064C,786,564,717.557,66.1
YBL063W,3336,228,68.345,6.296
YBL061C,2091,1194,571.019,52.601
YBL060W,2064,463,224.322,20.664
YBL059C-A,330,396,1200,110.541
YBL059W,582,137,235.395,21.684
YBL058W,1272,1318,1036.164,95.449
YBL057C,627,1226,1955.343,180.122
YBL056W,1407,3170,2253.021,207.543
YBL055C,1257,949,754.972,69.546
YBL054W,1578,449,284.537,26.211
YBL052C,2496,735,294.471,27.126
YBL051C,2007,367,182.86,16.845
YBL050W,879,1305,1484.642,136.762
YBL049W,417,71,170.264,15.684
YBL048W,312,27,86.538,7.972
YBL047C,4146,1025,247.226,22.774
YBL046W,1326,581,438.16,40.362
YBL045C,1374,3976,2893.741,266.565
YBL044W,369,6,16.26,1.498
YBL043W,774,56,72.351,6.665
